"R01","J01","I11","P1","C1"
"R01","J01","I09","P1","C1"
"R01","J02","I09","P1","C1"
"R02","J02","I12","P1","C1"
"R02","J02","I04","P1","C1"
"R02","J02","I10","P1","C1"
"R02","J02","I09","P1","C1"
"R02","J04","I05","P1","C1"
"R03","J03","I12","P1","C1"
"R03","J03","I10","P1","C1"
"R03","J04","I07","P1","C1"
"R03","J04","I12","P1","C1"
"R03","J05","I10","P1","C1"
"R03","J05","I09","P1","C1"
"R03","J05","I12","P1","C1"
"R03","J05","I06","P1","C1"
"R04","J03","I10","P1","C1"
"R04","J03","I12","P1","C1"
"R04","J04","I12","P1","C1"
"R04","J05","I09","P1","C1"
"R04","J05","I10","P1","C1"
"R04","J05","I12","P4","C3"
"R04","J05","I14","P1","C1"
"R04","J06","I03","P4","C3"
"R04","J06","I04","P4","C3"
"R04","J06","I06","P1","C1"
"R04","J06","I06","P2","C2"
"R04","J06","I08","P1","C2"
"R04","J06","I10","P1","C2"
"R04","J06","I10","P2","C2"
"R04","J06","I11","P4","C3"
"R04","J06","I12","P1","C1"
"R04","J06","I12","P1","C2"
"R04","J06","I12","P2","C2"
"R04","J06","I12","P4","C3"
"R04","J06","I14","P2","C2"
"R04","J06","I15","P2","C2"
"R04","J06","I15","P1","C1"
"R04","J07","I08","P4","C3"
"R05","J05","I01","P4","C2"
"R05","J05","I02","P4","C2"
"R05","J06","I08","P1","C2"
"R05","J06","I12","P1","C1"
"R05","J06","I14","P1","C1"
"R05","J07","I06","P2","C2"
"R05","J07","I06","P4","C3"
"R05","J07","I12","P1","C1"
"R05","J07","I12","P1","C2"
"R05","J07","I12","P2","C2"
"R05","J07","I13","P1","C2"
"R05","J07","I13","P2","C2"
"R05","J07","I13","P4","C3"
"R05","J07","I14","P2","C2"
"R05","J07","I15","P2","C2"
"R06","J07","I06","P4","C3"
"R06","J07","I08","P3","C2"
"R06","J07","I13","P4","C3"
"R06","J08","I06","P2","C2"
"R06","J08","I12","P1","C1"
"R06","J08","I12","P1","C2"
"R06","J08","I12","P2","C2"
"R06","J08","I13","P1","C1"
"R06","J08","I13","P1","C2"
"R06","J08","I13","P2","C2"
"R06","J08","I14","P1","C2"
"R06","J08","I14","P2","C2"
"R06","J08","I15","P1","C1"
"R06","J08","I15","P1","C2"
"R06","J08","I15","P2","C2"
"R06","J08","I16","P2","C2"
"R06","J09","I06","P2","C2"
"R06","J09","I12","P1","C2"
"R06","J09","I12","P2","C2"
"R06","J09","I14","P2","C2"
"R06","J10","I04","P2","C2"
"R06","J10","I12","P2","C2"
"R07","J08","I04","P4","C3"
"R07","J08","I08","P3","C2"
"R07","J08","I12","P4","C3"
"R07","J08","I13","P2","C2"
"R07","J09","I06","P2","C2"
"R07","J09","I12","P1","C2"
"R07","J09","I12","P2","C2"
"R07","J09","I13","P1","C2"
"R07","J09","I13","P2","C2"
"R07","J09","I14","P1","C2"
"R07","J09","I14","P2","C2"
"R07","J09","I15","P2","C2"
"R07","J09","I16","P2","C2"
"R07","J10","I04","P2","C2"
"R07","J10","I08","P2","C2"
"R07","J10","I09","P2","C2"
"R07","J10","I12","P1","C2"
"R07","J10","I12","P2","C2"
"R08","J09","I13","P1","C2"
"R08","J09","I14","P1","C2"
"R08","J09","I15","P2","C2"
"R08","J10","I06","P2","C2"
"R08","J10","I13","P2","C2"
"R08","J11","I04","P2","C2"
"R08","J11","I06","P2","C2"
"R08","J11","I12","P2","C2"
"R09","J11","I04","P2","C2"
"R09","J11","I06","P2","C2"
"R09","J11","I12","P2","C2"
"R09","J11","I13","P2","C2"
"R09","J12","I09","P2","C2"
"R10","J11","I06","P2","C2"
